src_ip,dst_ip,src_port,dst_port,bytes,protocol,label
192.168.1.23,172.16.0.10,37042,80,1082,6,1
192.168.1.16,104.244.42.1,60690,25,3843,6,0
192.168.1.24,172.16.0.30,17471,8080,1651,6,1
192.168.1.44,93.184.216.34,51617,53,2265,6,0
192.168.1.29,8.8.8.8,19993,22,2787,6,0
192.168.1.33,1.1.1.1,4941,80,1228,6,1
10.0.0.109,172.16.0.20,42395,8080,1754,6,1
192.168.1.41,172.16.0.10,10433,53,2486,6,0
192.168.1.48,8.8.8.8,37123,22,212,6,0
10.0.0.118,172.16.0.30,38864,80,1558,6,1
192.168.1.39,1.1.1.1,48257,53,1038,6,0
192.168.1.33,172.16.0.20,62821,80,2625,6,0
192.168.1.49,172.16.0.30,30351,6697,506,6,1
192.168.1.35,93.184.216.34,1936,21,2266,6,0
10.0.0.116,172.16.0.20,63842,8080,1755,6,1
192.168.1.18,172.16.0.10,10899,80,530,6,1
10.0.0.103,1.1.1.1,53744,22,131,6,1
192.168.1.27,93.184.216.34,65324,53,4492,6,0
192.168.1.24,172.16.0.30,35281,80,64,17,1
10.0.0.106,172.16.0.10,11254,6697,241,6,1
10.0.0.102,172.16.0.30,56151,22,197,6,1
10.0.0.112,151.101.1.69,6585,22,241,6,1
10.0.0.106,172.16.0.10,20584,443,360,17,1
192.168.1.39,8.8.8.8,50032,80,970,6,1
192.168.1.20,1.1.1.1,22282,80,559,6,0
10.0.0.111,1.1.1.1,19522,80,1627,6,1
10.0.0.118,93.184.216.34,52866,22,296,6,1
10.0.0.112,8.8.8.8,61725,58801,67,6,1
192.168.1.11,172.16.0.20,28538,21,3816,6,0
192.168.1.32,1.1.1.1,43273,443,291,6,1
10.0.0.109,172.16.0.20,46574,21,127,6,1
10.0.0.109,1.1.1.1,63850,443,229,17,1
10.0.0.113,1.1.1.1,40352,8080,226,6,1
192.168.1.19,1.1.1.1,51191,53,1024,6,0
192.168.1.27,172.16.0.30,7722,22,859,6,0
192.168.1.37,172.16.0.30,60375,443,340,6,1
192.168.1.26,172.16.0.20,22303,8080,911,6,1
192.168.1.18,172.16.0.20,23298,21,4259,6,0
10.0.0.106,8.8.8.8,65191,26801,73,6,1
192.168.1.27,104.244.42.1,40216,80,426,6,0
10.0.0.118,8.8.8.8,63083,8080,1477,6,1
192.168.1.43,1.1.1.1,64202,53,355,6,0
10.0.0.108,8.8.8.8,11638,21,68,6,1
192.168.1.33,172.16.0.10,32996,53,228,6,0
192.168.1.29,151.101.1.69,46716,21,2522,6,0
192.168.1.21,172.16.0.30,40967,80,3233,6,0
192.168.1.17,172.16.0.10,15652,443,1243,6,0
192.168.1.10,93.184.216.34,8355,80,3073,6,0
10.0.0.104,172.16.0.30,45898,6697,689,6,1
192.168.1.18,1.1.1.1,61908,22,694,6,0
192.168.1.36,172.16.0.10,32020,53,3223,6,0
192.168.1.26,151.101.1.69,13881,443,2802,6,0
192.168.1.32,104.244.42.1,58042,53,2988,6,0
192.168.1.31,172.16.0.30,53999,8080,690,6,1
192.168.1.34,172.16.0.20,47758,443,702,6,0
192.168.1.21,8.8.8.8,32756,53,2365,6,0
192.168.1.33,1.1.1.1,34070,21,3789,6,0
192.168.1.35,172.16.0.10,1165,21,3298,6,0
10.0.0.107,8.8.8.8,64325,40001,89,6,1
192.168.1.26,172.16.0.10,45431,22,4577,6,0
10.0.0.107,104.244.42.1,42486,22,92,6,1
10.0.0.113,172.16.0.20,60001,10301,53,6,1
192.168.1.22,172.16.0.20,7049,443,188,17,1
10.0.0.111,172.16.0.10,13677,21,58,6,1
192.168.1.39,1.1.1.1,56948,21,4058,6,0
192.168.1.42,151.101.1.69,49760,443,3988,6,0
10.0.0.105,8.8.8.8,8681,8080,1462,6,1
192.168.1.14,172.16.0.10,14089,443,266,6,0
10.0.0.118,172.16.0.30,61219,47501,77,6,1
192.168.1.32,172.16.0.20,45683,8080,1139,6,1
192.168.1.41,8.8.8.8,39627,8080,1926,6,1
192.168.1.29,172.16.0.20,11458,443,101,6,1
10.0.0.116,172.16.0.10,26357,80,35,17,1
192.168.1.34,172.16.0.30,7755,80,206,17,1
10.0.0.118,172.16.0.30,46282,80,411,6,1
192.168.1.33,8.8.8.8,1787,80,339,6,1
10.0.0.119,172.16.0.20,54816,45901,100,6,1
192.168.1.41,1.1.1.1,55728,21,4052,6,0
10.0.0.109,93.184.216.34,59490,8080,1059,6,1
10.0.0.112,172.16.0.30,44288,8080,451,6,1
192.168.1.49,104.244.42.1,10073,53,4349,6,0
192.168.1.18,172.16.0.20,50010,22,3503,6,0
10.0.0.103,104.244.42.1,25257,21,94,6,1
192.168.1.35,172.16.0.30,50580,80,286,6,0
10.0.0.117,1.1.1.1,11570,80,309,17,1
192.168.1.45,8.8.8.8,22556,443,1308,6,0
192.168.1.48,8.8.8.8,37205,443,2734,6,0
10.0.0.108,172.16.0.20,14007,8080,599,6,1
10.0.0.111,1.1.1.1,7810,80,208,6,1
192.168.1.22,172.16.0.10,60761,443,77,6,1
10.0.0.108,1.1.1.1,3327,80,1858,6,1
10.0.0.107,172.16.0.20,38795,8080,1703,6,1
10.0.0.112,8.8.8.8,18135,80,858,6,1
192.168.1.20,1.1.1.1,44863,80,187,6,1
10.0.0.112,172.16.0.20,61782,6667,549,6,1
10.0.0.115,172.16.0.10,9853,80,332,6,1
192.168.1.36,172.16.0.20,63038,80,404,6,0
192.168.1.12,172.16.0.20,45876,53,2454,6,0
192.168.1.39,172.16.0.10,21308,6697,847,6,1
192.168.1.44,172.16.0.30,52444,443,3974,6,0
10.0.0.117,8.8.8.8,58319,8901,64,6,1
192.168.1.18,8.8.8.8,35017,6667,650,6,1
192.168.1.41,172.16.0.30,15291,22,579,6,0
192.168.1.28,172.16.0.10,52791,443,303,17,1
192.168.1.46,172.16.0.30,9100,80,31,6,1
192.168.1.29,172.16.0.10,4006,22,546,6,0
192.168.1.34,172.16.0.10,28288,80,476,6,1
10.0.0.118,8.8.8.8,54813,55901,88,6,1
192.168.1.32,172.16.0.10,35985,80,122,17,1
192.168.1.20,172.16.0.10,45463,25,3689,6,0
192.168.1.33,93.184.216.34,9528,25,806,6,0
192.168.1.22,172.16.0.30,17911,8080,999,6,1
192.168.1.12,172.16.0.20,19710,80,327,6,1
192.168.1.26,104.244.42.1,7072,80,3569,6,0
10.0.0.115,151.101.1.69,37402,443,599,6,1
192.168.1.35,172.16.0.30,34925,80,401,6,1
10.0.0.102,172.16.0.30,64257,4301,43,6,1
10.0.0.105,172.16.0.20,51410,41001,96,6,1
192.168.1.18,151.101.1.69,12875,443,1456,6,0
192.168.1.11,151.101.1.69,62807,80,2981,6,0
10.0.0.111,172.16.0.10,63230,22301,92,6,1
192.168.1.21,151.101.1.69,64744,80,2921,6,0
192.168.1.37,1.1.1.1,20303,80,239,6,1
192.168.1.34,172.16.0.30,38547,80,1000,6,0
10.0.0.104,1.1.1.1,51318,40001,59,6,1
10.0.0.102,172.16.0.20,59036,2701,53,6,1
10.0.0.109,172.16.0.10,4598,8080,348,6,1
10.0.0.119,172.16.0.10,63257,33901,46,6,1
192.168.1.11,93.184.216.34,16826,22,949,6,0
192.168.1.15,8.8.8.8,26550,80,354,17,1
192.168.1.48,151.101.1.69,52563,53,2669,6,0
192.168.1.28,151.101.1.69,45516,22,4997,6,0
10.0.0.104,93.184.216.34,2053,8080,789,6,1
10.0.0.109,1.1.1.1,57807,42001,64,6,1
192.168.1.43,1.1.1.1,13888,22,4612,6,0
192.168.1.38,93.184.216.34,17570,80,4013,6,0
192.168.1.49,151.101.1.69,42581,80,2339,6,0
192.168.1.16,172.16.0.30,59332,80,976,6,0
192.168.1.25,172.16.0.20,7440,25,514,6,0
10.0.0.112,172.16.0.20,61256,39001,51,6,1
192.168.1.45,172.16.0.10,21636,80,2167,6,0
10.0.0.113,8.8.8.8,55895,21901,57,6,1
10.0.0.101,172.16.0.20,12007,21,168,6,1
192.168.1.15,93.184.216.34,9294,80,2352,6,0
10.0.0.111,1.1.1.1,55320,57601,93,6,1
10.0.0.104,172.16.0.10,62717,35201,88,6,1
192.168.1.32,172.16.0.20,19700,22,1392,6,0
10.0.0.104,172.16.0.30,52210,28001,81,6,1
10.0.0.112,172.16.0.20,52202,56001,61,6,1
192.168.1.35,1.1.1.1,60596,6697,888,6,1
192.168.1.48,172.16.0.30,31318,443,3208,6,0
192.168.1.41,8.8.8.8,11178,443,732,6,0
192.168.1.39,93.184.216.34,19259,21,3553,6,0
192.168.1.13,172.16.0.20,48748,21,2879,6,0
10.0.0.117,151.101.1.69,31234,8080,1841,6,1
192.168.1.29,172.16.0.10,64238,8080,1802,6,1
192.168.1.17,151.101.1.69,20237,25,3062,6,0
10.0.0.110,172.16.0.20,53810,50101,76,6,1
192.168.1.12,172.16.0.30,28047,6697,882,6,1
192.168.1.21,172.16.0.20,27796,80,3790,6,0
192.168.1.29,1.1.1.1,34272,22,707,6,0
192.168.1.37,1.1.1.1,16595,443,271,6,1
192.168.1.37,172.16.0.30,8021,6667,234,6,1
192.168.1.40,8.8.8.8,23939,21,2600,6,0
192.168.1.23,8.8.8.8,37091,6697,489,6,1
10.0.0.119,8.8.8.8,34409,443,1937,6,1
192.168.1.45,151.101.1.69,5955,80,1321,6,0
192.168.1.19,1.1.1.1,49847,443,4698,6,0
10.0.0.106,172.16.0.30,58294,8080,2344,6,1
192.168.1.32,93.184.216.34,7761,443,1299,6,0
192.168.1.34,104.244.42.1,10695,443,145,6,0
192.168.1.35,93.184.216.34,3780,22,2456,6,0
10.0.0.102,172.16.0.10,63555,21,173,6,1
192.168.1.28,104.244.42.1,16698,25,2635,6,0
192.168.1.48,172.16.0.30,39214,80,1258,6,0
192.168.1.46,93.184.216.34,20800,443,1273,6,0
192.168.1.44,8.8.8.8,53455,80,806,6,1
192.168.1.41,104.244.42.1,31792,53,2723,6,0
192.168.1.32,151.101.1.69,34773,22,4701,6,0
10.0.0.103,1.1.1.1,62605,8080,1607,6,1
192.168.1.42,8.8.8.8,64895,80,1963,6,1
192.168.1.42,151.101.1.69,6897,80,2999,6,0
192.168.1.34,8.8.8.8,52958,6667,284,6,1
10.0.0.111,172.16.0.20,17374,80,26,6,1
10.0.0.114,8.8.8.8,21404,80,380,6,1
192.168.1.47,172.16.0.30,41949,53,2865,6,0
192.168.1.34,172.16.0.30,7119,8080,1317,6,1
192.168.1.22,93.184.216.34,29993,53,522,6,0
10.0.0.114,1.1.1.1,51929,30401,83,6,1
192.168.1.45,8.8.8.8,22527,443,4362,6,0
10.0.0.106,1.1.1.1,61632,22,98,6,1
192.168.1.43,172.16.0.10,18048,8080,1239,6,1
10.0.0.112,172.16.0.10,43081,8080,956,6,1
10.0.0.112,172.16.0.10,56936,33901,43,6,1
192.168.1.41,104.244.42.1,61589,53,4724,6,0
10.0.0.106,172.16.0.20,63766,28601,96,6,1
192.168.1.28,151.101.1.69,64114,443,1408,6,0
192.168.1.14,104.244.42.1,34659,22,4963,6,0
192.168.1.11,104.244.42.1,52332,53,4838,6,0
10.0.0.115,1.1.1.1,52072,80,718,6,1
10.0.0.113,172.16.0.30,1556,8080,2704,6,1
192.168.1.27,172.16.0.30,64422,21,2517,6,0
10.0.0.105,172.16.0.10,57339,46301,46,6,1
192.168.1.33,8.8.8.8,8771,53,3912,6,0
192.168.1.28,8.8.8.8,57132,25,3421,6,0
192.168.1.21,151.101.1.69,49184,22,4122,6,0
10.0.0.107,8.8.8.8,57051,11501,71,6,1
192.168.1.26,93.184.216.34,6287,53,2791,6,0
10.0.0.102,104.244.42.1,50356,21,155,6,1
10.0.0.105,1.1.1.1,62017,8080,1320,6,1
10.0.0.112,172.16.0.30,65033,55701,62,6,1
192.168.1.43,151.101.1.69,53535,443,1233,6,0
192.168.1.15,172.16.0.20,47999,80,183,17,1
192.168.1.38,172.16.0.10,44497,80,341,6,1
10.0.0.100,172.16.0.20,61108,11301,44,6,1
192.168.1.10,8.8.8.8,11167,80,1372,6,1
10.0.0.118,172.16.0.30,8263,8080,697,6,1
10.0.0.104,172.16.0.20,49429,54301,79,6,1
10.0.0.118,1.1.1.1,13411,8080,511,6,1
10.0.0.102,8.8.8.8,60952,52301,43,6,1
