src_ip,dst_ip,src_port,dst_port,bytes,protocol,label
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
192.168.1.10,192.168.1.8,0,0,98,1,1
192.168.1.8,192.168.1.10,0,0,98,1,1
