src_ip,dst_ip,src_port,dst_port,bytes,protocol,label
10.0.0.100,172.16.0.20,61108,11301,44,6,1
10.0.0.118,172.16.0.30,53714,16901,90,6,1
192.168.1.35,1.1.1.1,57717,25,501,6,0
192.168.1.38,104.244.42.1,37194,22,4551,6,0
192.168.1.29,104.244.42.1,62970,80,3321,6,0
192.168.1.12,8.8.8.8,3606,80,290,17,1
10.0.0.104,172.16.0.10,62717,35201,88,6,1
192.168.1.30,8.8.8.8,26161,22,2029,6,0
192.168.1.26,93.184.216.34,6287,53,2791,6,0
192.168.1.31,172.16.0.30,19824,80,3970,6,0
10.0.0.112,8.8.8.8,61725,58801,67,6,1
192.168.1.37,1.1.1.1,16595,443,271,6,1
192.168.1.39,172.16.0.20,52655,22,4931,6,0
192.168.1.16,104.244.42.1,60690,25,3843,6,0
10.0.0.118,8.8.8.8,63083,8080,1477,6,1
192.168.1.12,172.16.0.20,25742,21,4627,6,0
192.168.1.21,151.101.1.69,49184,22,4122,6,0
192.168.1.44,93.184.216.34,51617,53,2265,6,0
192.168.1.11,172.16.0.30,52796,22,2049,6,0
192.168.1.18,172.16.0.10,38011,25,322,6,0
192.168.1.29,1.1.1.1,47226,53,4105,6,0
10.0.0.115,1.1.1.1,62858,54701,74,6,1
192.168.1.13,1.1.1.1,48275,8080,629,6,1
10.0.0.100,1.1.1.1,50213,58101,51,6,1
10.0.0.113,8.8.8.8,59075,64801,55,6,1
192.168.1.45,8.8.8.8,9762,21,3906,6,0
192.168.1.25,93.184.216.34,25097,53,4560,6,0
10.0.0.110,172.16.0.30,50729,80,1950,6,1
10.0.0.102,172.16.0.30,56151,22,197,6,1
192.168.1.45,172.16.0.10,21636,80,2167,6,0
192.168.1.12,172.16.0.20,45876,53,2454,6,0
192.168.1.16,172.16.0.30,59332,80,976,6,0
10.0.0.101,172.16.0.20,12007,21,168,6,1
10.0.0.102,104.244.42.1,34902,443,520,6,1
10.0.0.114,172.16.0.10,16360,443,31,17,1
192.168.1.44,172.16.0.30,33865,443,271,6,1
192.168.1.38,172.16.0.10,44497,80,341,6,1
192.168.1.49,151.101.1.69,42581,80,2339,6,0
192.168.1.22,172.16.0.30,17911,8080,999,6,1
192.168.1.35,172.16.0.20,31104,21,4728,6,0
192.168.1.23,172.16.0.10,37042,80,1082,6,1
10.0.0.109,172.16.0.10,4598,8080,348,6,1
10.0.0.111,1.1.1.1,55320,57601,93,6,1
192.168.1.35,172.16.0.10,1165,21,3298,6,0
192.168.1.14,172.16.0.30,5884,53,3786,6,0
192.168.1.40,172.16.0.20,39105,80,1914,6,1
192.168.1.19,1.1.1.1,6934,6697,356,6,1
10.0.0.115,172.16.0.10,58998,13701,87,6,1
192.168.1.11,151.101.1.69,62807,80,2981,6,0
192.168.1.34,172.16.0.20,20757,80,225,6,1
192.168.1.33,172.16.0.10,32996,53,228,6,0
192.168.1.26,151.101.1.69,13881,443,2802,6,0
192.168.1.33,172.16.0.20,62821,80,2625,6,0
10.0.0.104,172.16.0.30,45898,6697,689,6,1
192.168.1.39,93.184.216.34,19259,21,3553,6,0
192.168.1.41,104.244.42.1,31792,53,2723,6,0
192.168.1.33,8.8.8.8,8771,53,3912,6,0
192.168.1.33,172.16.0.30,63717,25,4700,6,0
192.168.1.15,93.184.216.34,9294,80,2352,6,0
192.168.1.34,172.16.0.20,64174,443,185,17,1
192.168.1.12,93.184.216.34,17377,53,942,6,0
192.168.1.14,8.8.8.8,11757,6667,297,6,1
10.0.0.104,172.16.0.30,52210,28001,81,6,1
192.168.1.16,93.184.216.34,44612,22,2188,6,0
10.0.0.102,104.244.42.1,50356,21,155,6,1
10.0.0.112,151.101.1.69,6585,22,241,6,1
10.0.0.102,172.16.0.10,63555,21,173,6,1
10.0.0.107,8.8.8.8,57051,11501,71,6,1
192.168.1.37,172.16.0.10,29289,22,673,6,0
10.0.0.117,172.16.0.10,10138,443,970,6,1
192.168.1.11,93.184.216.34,16826,22,949,6,0
10.0.0.106,172.16.0.10,11254,6697,241,6,1
192.168.1.48,8.8.8.8,37123,22,212,6,0
192.168.1.43,1.1.1.1,14189,80,117,17,1
192.168.1.18,1.1.1.1,61908,22,694,6,0
192.168.1.12,172.16.0.30,64034,80,1797,6,0
192.168.1.45,93.184.216.34,30760,53,2319,6,0
192.168.1.41,8.8.8.8,56914,443,706,6,0
192.168.1.33,1.1.1.1,34070,21,3789,6,0
10.0.0.110,172.16.0.10,52923,4501,41,6,1
192.168.1.12,93.184.216.34,5361,22,1828,6,0
10.0.0.113,172.16.0.10,50208,30401,68,6,1
192.168.1.18,172.16.0.30,22037,80,539,6,1
192.168.1.34,172.16.0.30,7119,8080,1317,6,1
10.0.0.109,93.184.216.34,6431,21,82,6,1
10.0.0.101,104.244.42.1,42127,22,291,6,1
10.0.0.108,8.8.8.8,11638,21,68,6,1
192.168.1.46,93.184.216.34,20800,443,1273,6,0
192.168.1.14,1.1.1.1,32786,6697,987,6,1
192.168.1.19,151.101.1.69,16597,22,2567,6,0
10.0.0.110,172.16.0.10,38196,443,1601,6,1
10.0.0.117,172.16.0.10,27453,443,428,6,1
192.168.1.11,172.16.0.20,27254,443,243,6,1
192.168.1.24,104.244.42.1,29586,22,4078,6,0
192.168.1.18,172.16.0.20,50010,22,3503,6,0
10.0.0.112,172.16.0.10,43081,8080,956,6,1
192.168.1.14,172.16.0.10,46924,22,622,6,0
10.0.0.117,172.16.0.20,36087,443,244,6,1
192.168.1.36,172.16.0.20,63038,80,404,6,0
10.0.0.104,93.184.216.34,2053,8080,789,6,1
192.168.1.21,151.101.1.69,49295,443,2821,6,0
192.168.1.31,172.16.0.20,14879,443,4743,6,0
192.168.1.45,151.101.1.69,5955,80,1321,6,0
10.0.0.114,172.16.0.10,46122,6667,898,6,1
192.168.1.35,104.244.42.1,64837,22,1630,6,0
10.0.0.104,1.1.1.1,51347,32701,45,6,1
10.0.0.119,8.8.8.8,34409,443,1937,6,1
192.168.1.45,8.8.8.8,22527,443,4362,6,0
10.0.0.118,172.16.0.30,61219,47501,77,6,1
192.168.1.24,172.16.0.20,30738,22,3088,6,0
10.0.0.115,172.16.0.10,9853,80,332,6,1
10.0.0.104,1.1.1.1,51318,40001,59,6,1
